block_name,latency(ms)
Conv-input:224x224x3-output:112x112x32,3.50596
Conv_1-input:7x7x320-output:7x7x1280,1.29039
Logits-input:7x7x1280-output:1000,1.10951
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:3-stride:2-idskip:0,2.34957
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:5-stride:2-idskip:0,2.77273
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:7-stride:2-idskip:0,3.27228
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:3-stride:2-idskip:0,5.42045
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:5-stride:2-idskip:0,6.08287
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:7-stride:2-idskip:0,7.00828
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:3-stride:1-idskip:0,2.84152
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:5-stride:1-idskip:0,2.99348
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:7-stride:1-idskip:0,6.0855
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:3-stride:1-idskip:1,1.17963
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:5-stride:1-idskip:1,1.28459
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:7-stride:1-idskip:1,1.58132
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:3-stride:1-idskip:1,1.94111
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:5-stride:1-idskip:1,2.04431
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:7-stride:1-idskip:1,2.61015
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:3-stride:1-idskip:0,1.01597
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:5-stride:1-idskip:0,1.10423
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:7-stride:1-idskip:0,1.46812
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:3-stride:1-idskip:0,1.85622
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:5-stride:1-idskip:0,1.96574
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:7-stride:1-idskip:0,2.54544
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:3-stride:1-idskip:1,1.42058
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:5-stride:1-idskip:1,1.50198
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:7-stride:1-idskip:1,1.89655
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:3-stride:1-idskip:1,2.38493
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:5-stride:1-idskip:1,2.53395
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:7-stride:1-idskip:1,3.1133
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:3-stride:2-idskip:0,0.973602
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:5-stride:2-idskip:0,1.06456
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:7-stride:2-idskip:0,1.14053
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:3-stride:2-idskip:0,1.68826
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:5-stride:2-idskip:0,1.82402
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:7-stride:2-idskip:0,2.01202
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:3-stride:2-idskip:0,0.94398
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:5-stride:2-idskip:0,1.07653
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:7-stride:2-idskip:0,1.20536
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:3-stride:2-idskip:0,1.58122
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:5-stride:2-idskip:0,1.78356
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:7-stride:2-idskip:0,1.97878
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:3-stride:1-idskip:1,1.59411
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:5-stride:1-idskip:1,1.70207
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:7-stride:1-idskip:1,2.23006
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:3-stride:1-idskip:1,2.49935
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:5-stride:1-idskip:1,2.59692
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:7-stride:1-idskip:1,3.44686
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:3-stride:2-idskip:0,1.55425
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:5-stride:2-idskip:0,1.7231
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:7-stride:2-idskip:0,1.97918
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:3-stride:2-idskip:0,2.39135
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:5-stride:2-idskip:0,2.64289
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:7-stride:2-idskip:0,2.96069
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:3-stride:1-idskip:1,2.65287
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:5-stride:1-idskip:1,2.74718
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:7-stride:1-idskip:1,3.76805
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:3-stride:1-idskip:1,4.17658
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:5-stride:1-idskip:1,3.99419
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:7-stride:1-idskip:1,5.58705
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:3-stride:1-idskip:1,1.48022
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:5-stride:1-idskip:1,1.48032
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:7-stride:1-idskip:1,1.71383
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:3-stride:1-idskip:1,2.25819
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:5-stride:1-idskip:1,2.27353
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:7-stride:1-idskip:1,2.69763
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:3-stride:1-idskip:0,1.55283
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:5-stride:1-idskip:0,1.54758
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:7-stride:1-idskip:0,1.78898
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:3-stride:1-idskip:0,2.48481
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:5-stride:1-idskip:0,2.51112
expanded_conv-input:7x7x192-output:7x7x320-expand:6-kernel:7-stride:1-idskip:0,2.92077
