block_name,latency(ms)
Conv-input:224x224x3-output:112x112x32,11.7253
Conv_1-input:7x7x320-output:7x7x1280,3.3966
Logits-input:7x7x1280-output:1000,2.28149
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:3-stride:2-idskip:0,6.34953
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:5-stride:2-idskip:0,8.73417
expanded_conv-input:112x112x16-output:56x56x24-expand:3-kernel:7-stride:2-idskip:0,11.3151
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:3-stride:2-idskip:0,13.984
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:5-stride:2-idskip:0,19.9757
expanded_conv-input:112x112x16-output:56x56x24-expand:6-kernel:7-stride:2-idskip:0,26.1847
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:3-stride:1-idskip:0,10.417
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:5-stride:1-idskip:0,11.9281
expanded_conv-input:112x112x32-output:112x112x16-expand:1-kernel:7-stride:1-idskip:0,27.4363
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:3-stride:1-idskip:1,3.29683
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:5-stride:1-idskip:1,3.53977
expanded_conv-input:14x14x80-output:14x14x80-expand:3-kernel:7-stride:1-idskip:1,4.7309
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:3-stride:1-idskip:1,4.87703
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:5-stride:1-idskip:1,5.68503
expanded_conv-input:14x14x80-output:14x14x80-expand:6-kernel:7-stride:1-idskip:1,8.50891
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:3-stride:1-idskip:0,2.87287
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:5-stride:1-idskip:0,3.11998
expanded_conv-input:14x14x80-output:14x14x96-expand:3-kernel:7-stride:1-idskip:0,4.33194
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:3-stride:1-idskip:0,4.47242
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:5-stride:1-idskip:0,5.18797
expanded_conv-input:14x14x80-output:14x14x96-expand:6-kernel:7-stride:1-idskip:0,8.15013
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:3-stride:1-idskip:1,3.75135
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:5-stride:1-idskip:1,4.04376
expanded_conv-input:14x14x96-output:14x14x96-expand:3-kernel:7-stride:1-idskip:1,5.55124
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:3-stride:1-idskip:1,5.8454
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:5-stride:1-idskip:1,6.99123
expanded_conv-input:14x14x96-output:14x14x96-expand:6-kernel:7-stride:1-idskip:1,10.7542
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:3-stride:2-idskip:0,2.76038
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:5-stride:2-idskip:0,3.12994
expanded_conv-input:14x14x96-output:7x7x192-expand:3-kernel:7-stride:2-idskip:0,3.57961
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:3-stride:2-idskip:0,4.26639
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:5-stride:2-idskip:0,5.22247
expanded_conv-input:14x14x96-output:7x7x192-expand:6-kernel:7-stride:2-idskip:0,6.21257
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:3-stride:2-idskip:0,2.78662
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:5-stride:2-idskip:0,3.22554
expanded_conv-input:28x28x40-output:14x14x80-expand:3-kernel:7-stride:2-idskip:0,3.67382
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:3-stride:2-idskip:0,4.08821
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:5-stride:2-idskip:0,4.90183
expanded_conv-input:28x28x40-output:14x14x80-expand:6-kernel:7-stride:2-idskip:0,6.04908
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:3-stride:1-idskip:1,4.07346
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:5-stride:1-idskip:1,4.47077
expanded_conv-input:28x28x40-output:28x28x40-expand:3-kernel:7-stride:1-idskip:1,6.75244
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:3-stride:1-idskip:1,6.06398
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:5-stride:1-idskip:1,7.08208
expanded_conv-input:28x28x40-output:28x28x40-expand:6-kernel:7-stride:1-idskip:1,11.7127
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:3-stride:2-idskip:0,4.06358
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:5-stride:2-idskip:0,5.12966
expanded_conv-input:56x56x24-output:28x28x40-expand:3-kernel:7-stride:2-idskip:0,6.25392
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:3-stride:2-idskip:0,6.41825
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:5-stride:2-idskip:0,8.46903
expanded_conv-input:56x56x24-output:28x28x40-expand:6-kernel:7-stride:2-idskip:0,10.8311
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:3-stride:1-idskip:1,6.28398
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:5-stride:1-idskip:1,7.41584
expanded_conv-input:56x56x24-output:56x56x24-expand:3-kernel:7-stride:1-idskip:1,13.8514
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:3-stride:1-idskip:1,9.94037
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:5-stride:1-idskip:1,12.9773
expanded_conv-input:56x56x24-output:56x56x24-expand:6-kernel:7-stride:1-idskip:1,24.3887
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:3-stride:1-idskip:1,3.51979
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:5-stride:1-idskip:1,3.81098
expanded_conv-input:7x7x192-output:7x7x192-expand:3-kernel:7-stride:1-idskip:1,5.04477
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:3-stride:1-idskip:1,5.44352
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:5-stride:1-idskip:1,6.34733
expanded_conv-input:7x7x192-output:7x7x192-expand:6-kernel:7-stride:1-idskip:1,9.31958
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:3-stride:1-idskip:0,3.73696
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:5-stride:1-idskip:0,3.99997
expanded_conv-input:7x7x192-output:7x7x320-expand:3-kernel:7-stride:1-idskip:0,5.24086
