block_name,time
Conv-input:32x32x3-output:16x16x32,0.227741
expanded_conv-input:16x16x32-output:16x16x16-expand:1-kernel:3-stride:1-idskip:0,0.382729
expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:3-stride:2-idskip:0,0.443163
expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:3-stride:2-idskip:0,0.58648
expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:5-stride:2-idskip:0,0.392028
expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:5-stride:2-idskip:0,0.583001
expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:0,0.384773
expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:1,0.408007
expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:0,0.62869
expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:1,0.716695
expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:0,0.435962
expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:1,0.443233
expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:0,0.738287
expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:1,0.71111
expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:3-stride:2-idskip:0,0.418794
expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:3-stride:2-idskip:0,0.652155
expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:5-stride:2-idskip:0,0.442294
expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:5-stride:2-idskip:0,0.66266
expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:0,0.433495
expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:1,0.478116
expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:0,0.692447
expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:1,0.698874
expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:0,0.437684
expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:1,0.474931
expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:0,0.745343
expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:1,0.708845
expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.466721
expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.748315
expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.447046
expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.7054
expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.794165
expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:1,0.818838
expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,1.37956
expanded_conv-input:4x4x80-output:4x4x80-expand:6-kernel:3-stride:1-idskip:1,1.4732
