,block_name,cpu_b,cpu_s,gpu
0,Conv-input:32x32x3-output:16x16x32,0.0840948,0.141983,0.227741
1,expanded_conv-input:16x16x32-output:16x16x16-expand:1-kernel:3-stride:1-idskip:0,0.146825,0.246473,0.382729
2,expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:3-stride:2-idskip:0,0.123288,0.259053,0.443163
3,expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:3-stride:2-idskip:0,0.166644,0.298897,0.58648
4,expanded_conv-input:16x16x16-output:8x8x24-expand:3-kernel:5-stride:2-idskip:0,0.144247,0.249557,0.392028
5,expanded_conv-input:16x16x16-output:8x8x24-expand:6-kernel:5-stride:2-idskip:0,0.218743,0.36374,0.583001
6,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:0,0.115568,0.213939,0.384773
7,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:3-stride:1-idskip:1,0.135737,0.249276,0.408007
8,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:0,0.14013,0.262711,0.62869
9,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:3-stride:1-idskip:1,0.157955,0.324644,0.716695
10,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:0,0.149029,0.226203,0.435962
11,expanded_conv-input:8x8x24-output:8x8x24-expand:3-kernel:5-stride:1-idskip:1,0.147973,0.257823,0.443233
12,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:0,0.171208,0.299513,0.738287
13,expanded_conv-input:8x8x24-output:8x8x24-expand:6-kernel:5-stride:1-idskip:1,0.185108,0.334777,0.71111
14,expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:3-stride:2-idskip:0,0.108116,0.197884,0.418794
15,expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:3-stride:2-idskip:0,0.129883,0.24131,0.652155
16,expanded_conv-input:8x8x24-output:4x4x40-expand:3-kernel:5-stride:2-idskip:0,0.120228,0.230444,0.442294
17,expanded_conv-input:8x8x24-output:4x4x40-expand:6-kernel:5-stride:2-idskip:0,0.152979,0.348701,0.66266
18,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:0,0.108344,0.269593,0.433495
19,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:3-stride:1-idskip:1,0.130167,0.231242,0.478116
20,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:0,0.140448,0.255754,0.692447
21,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:3-stride:1-idskip:1,0.153937,0.329109,0.698874
22,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:0,0.114011,0.201683,0.437684
23,expanded_conv-input:4x4x40-output:4x4x40-expand:3-kernel:5-stride:1-idskip:1,0.133289,0.240253,0.474931
24,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:0,0.145061,0.243425,0.745343
25,expanded_conv-input:4x4x40-output:4x4x40-expand:6-kernel:5-stride:1-idskip:1,0.162156,0.284854,0.708845
26,expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.113402,0.208721,0.466721
27,expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:3-stride:1-idskip:0,0.140645,0.351456,0.748315
28,expanded_conv-input:4x4x40-output:4x4x80-expand:3-kernel:5-stride:1-idskip:0,0.118353,0.26003,0.447046
29,expanded_conv-input:4x4x40-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.149826,0.325876,0.7054
30,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:0,0.154147,0.271122,0.794165
31,expanded_conv-input:4x4x80-output:4x4x80-expand:3-kernel:3-stride:1-idskip:1,0.172661,0.308638,0.818838
